Method,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore-F1,Manual Overall (/5),Automatic Rank (ROUGE-1),Automatic Rank (BERTScore),Manual Rank
Zero-shot,0.0934,0.0289,0.0657,0.7242,2.18,3,1,2
Few-shot,0.1894,0.0681,0.1606,0.6458,1.98,1,3,3
Structured CoT,0.1552,0.05,0.1118,0.7042,2.24,2,2,1
